"","hojas","min_data","bines","lerners....l","profundidad....p","exactitud","precision","precision_secundaria","promedio"
"1",15,5,20,0.01,3,0.724220623501199,0.800687285223368,0.547619047619048,0.690842318781205
"2",15,5,20,0.01,4,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"3",15,5,20,0.01,5,0.719424460431655,0.797250859106529,0.53968253968254,0.685452619740241
"4",15,5,20,0.01,6,0.724220623501199,0.800687285223368,0.547619047619048,0.690842318781205
"5",15,5,20,0.01,7,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"6",15,5,20,0.01,8,0.724220623501199,0.800687285223368,0.547619047619048,0.690842318781205
"7",15,5,20,0.01,9,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"8",15,5,20,0.01,10,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"9",15,5,20,0.02,10,0.724220623501199,0.800687285223368,0.547619047619048,0.690842318781205
"10",15,5,20,0.03,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"11",15,5,20,0.05,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"12",15,5,20,0.06,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"13",15,5,20,0.1,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"14",15,5,20,0.15,10,0.690647482014389,0.776632302405498,0.492063492063492,0.65311442549446
"15",15,5,20,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"16",15,5,30,0.2,10,0.724220623501199,0.800687285223368,0.547619047619048,0.690842318781205
"17",15,5,50,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"18",15,5,75,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"19",15,5,100,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"20",15,5,120,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"21",15,5,150,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"22",15,10,20,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"23",15,10,30,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"24",15,10,50,0.2,10,0.724220623501199,0.800687285223368,0.547619047619048,0.690842318781205
"25",15,10,75,0.2,10,0.724220623501199,0.800687285223368,0.547619047619048,0.690842318781205
"26",15,10,100,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"27",15,10,120,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"28",15,10,150,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"29",15,15,20,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"30",15,15,30,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"31",15,15,50,0.2,10,0.719424460431655,0.797250859106529,0.53968253968254,0.685452619740241
"32",15,15,75,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"33",15,15,100,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"34",15,15,120,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"35",15,15,150,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"36",15,20,20,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"37",15,20,30,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"38",15,20,50,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"39",15,20,75,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"40",15,20,100,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"41",15,20,120,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"42",15,20,150,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"43",15,25,20,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"44",15,25,30,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"45",15,25,50,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"46",15,25,75,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"47",15,25,100,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"48",15,25,120,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"49",15,25,150,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"50",15,30,20,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"51",15,30,30,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"52",15,30,50,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"53",15,30,75,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"54",15,30,100,0.2,10,0.676258992805755,0.766323024054983,0.468253968253968,0.636945328371569
"55",15,30,120,0.2,10,0.676258992805755,0.766323024054983,0.468253968253968,0.636945328371569
"56",15,30,150,0.2,10,0.676258992805755,0.766323024054983,0.468253968253968,0.636945328371569
"57",15,35,20,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"58",15,35,30,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"59",15,35,50,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"60",15,35,75,0.2,10,0.676258992805755,0.766323024054983,0.468253968253968,0.636945328371569
"61",15,35,100,0.2,10,0.6810551558753,0.769759450171821,0.476190476190476,0.642335027412532
"62",15,35,120,0.2,10,0.6810551558753,0.769759450171821,0.476190476190476,0.642335027412532
"63",15,35,150,0.2,10,0.6810551558753,0.769759450171821,0.476190476190476,0.642335027412532
"64",15,40,20,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"65",15,40,30,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"66",15,40,50,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"67",15,40,75,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"68",15,40,100,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"69",15,40,120,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"70",15,40,150,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"71",30,5,20,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"72",30,5,30,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"73",30,5,50,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"74",30,5,75,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"75",30,5,100,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"76",30,5,120,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"77",30,5,150,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"78",30,10,20,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"79",30,10,30,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"80",30,10,50,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"81",30,10,75,0.2,10,0.724220623501199,0.800687285223368,0.547619047619048,0.690842318781205
"82",30,10,100,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"83",30,10,120,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"84",30,10,150,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"85",30,15,20,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"86",30,15,30,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"87",30,15,50,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"88",30,15,75,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"89",30,15,100,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"90",30,15,120,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"91",30,15,150,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"92",30,20,20,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"93",30,20,30,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"94",30,20,50,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"95",30,20,75,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"96",30,20,100,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"97",30,20,120,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"98",30,20,150,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"99",30,25,20,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"100",30,25,30,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"101",30,25,50,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"102",30,25,75,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"103",30,25,100,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"104",30,25,120,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"105",30,25,150,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"106",30,30,20,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"107",30,30,30,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"108",30,30,50,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"109",30,30,75,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"110",30,30,100,0.2,10,0.676258992805755,0.766323024054983,0.468253968253968,0.636945328371569
"111",30,30,120,0.2,10,0.676258992805755,0.766323024054983,0.468253968253968,0.636945328371569
"112",30,30,150,0.2,10,0.676258992805755,0.766323024054983,0.468253968253968,0.636945328371569
"113",30,35,20,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"114",30,35,30,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"115",30,35,50,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"116",30,35,75,0.2,10,0.676258992805755,0.766323024054983,0.468253968253968,0.636945328371569
"117",30,35,100,0.2,10,0.6810551558753,0.769759450171821,0.476190476190476,0.642335027412532
"118",30,35,120,0.2,10,0.6810551558753,0.769759450171821,0.476190476190476,0.642335027412532
"119",30,35,150,0.2,10,0.6810551558753,0.769759450171821,0.476190476190476,0.642335027412532
"120",30,40,20,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"121",30,40,30,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"122",30,40,50,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"123",30,40,75,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"124",30,40,100,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"125",30,40,120,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"126",30,40,150,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"127",35,5,20,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"128",35,5,30,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"129",35,5,50,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"130",35,5,75,0.2,10,0.729016786570743,0.804123711340206,0.555555555555556,0.696232017822168
"131",35,5,100,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"132",35,5,120,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"133",35,5,150,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"134",35,10,20,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"135",35,10,30,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"136",35,10,50,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"137",35,10,75,0.2,10,0.724220623501199,0.800687285223368,0.547619047619048,0.690842318781205
"138",35,10,100,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"139",35,10,120,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"140",35,10,150,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"141",35,15,20,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"142",35,15,30,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"143",35,15,50,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"144",35,15,75,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"145",35,15,100,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"146",35,15,120,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"147",35,15,150,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"148",35,20,20,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"149",35,20,30,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"150",35,20,50,0.2,10,0.709832134292566,0.790378006872852,0.523809523809524,0.674673221658314
"151",35,20,75,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"152",35,20,100,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"153",35,20,120,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"154",35,20,150,0.2,10,0.71462829736211,0.793814432989691,0.531746031746032,0.680062920699278
"155",35,25,20,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"156",35,25,30,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"157",35,25,50,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"158",35,25,75,0.2,10,0.705035971223022,0.786941580756014,0.515873015873016,0.66928352261735
"159",35,25,100,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"160",35,25,120,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"161",35,25,150,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"162",35,30,20,0.2,10,0.695443645083933,0.780068728522337,0.5,0.658504124535423
"163",35,30,30,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"164",35,30,50,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"165",35,30,75,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"166",35,30,100,0.2,10,0.676258992805755,0.766323024054983,0.468253968253968,0.636945328371569
"167",35,30,120,0.2,10,0.676258992805755,0.766323024054983,0.468253968253968,0.636945328371569
"168",35,30,150,0.2,10,0.676258992805755,0.766323024054983,0.468253968253968,0.636945328371569
"169",35,35,20,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"170",35,35,30,0.2,10,0.700239808153477,0.783505154639175,0.507936507936508,0.663893823576387
"171",35,35,50,0.2,10,0.685851318944844,0.77319587628866,0.484126984126984,0.647724726453496
"172",35,35,75,0.2,10,0.676258992805755,0.766323024054983,0.468253968253968,0.636945328371569
"173",35,35,100,0.2,10,0.6810551558753,0.769759450171821,0.476190476190476,0.642335027412532
"174",35,35,120,0.2,10,0.6810551558753,0.769759450171821,0.476190476190476,0.642335027412532
"175",35,35,150,0.2,10,0.6810551558753,0.769759450171821,0.476190476190476,0.642335027412532
